[08-Jun-2018 23:14:09 America/Sao_Paulo] PHP Notice:  Undefined variable: dados in C:\xampp\htdocs\pacotes\server\handlers.php on line 69
[08-Jun-2018 23:19:25 America/Sao_Paulo] PHP Fatal error:  Cannot redeclare log() in C:\xampp\htdocs\pacotes\server\functions.php on line 47
[08-Jun-2018 23:22:04 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected end of file in C:\xampp\htdocs\pacotes\server\Logging.php on line 51
[08-Jun-2018 23:23:14 America/Sao_Paulo] PHP Fatal error:  Cannot redeclare log() in C:\xampp\htdocs\pacotes\server\functions.php on line 47
[08-Jun-2018 23:25:08 America/Sao_Paulo] PHP Notice:  Array to string conversion in C:\xampp\htdocs\pacotes\server\Logging.php on line 30
[08-Jun-2018 23:25:08 America/Sao_Paulo] PHP Notice:  Undefined variable: dados in C:\xampp\htdocs\pacotes\server\handlers.php on line 71
[08-Jun-2018 23:26:08 America/Sao_Paulo] PHP Notice:  Undefined variable: dados in C:\xampp\htdocs\pacotes\server\handlers.php on line 71
[08-Jun-2018 23:45:44 America/Sao_Paulo] PHP Notice:  Undefined variable: dados in C:\xampp\htdocs\pacotes\server\handlers.php on line 70
[08-Jun-2018 23:47:51 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 80
[08-Jun-2018 23:47:51 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 97
[08-Jun-2018 23:47:51 America/Sao_Paulo] PHP Notice:  Undefined variable: response in C:\xampp\htdocs\pacotes\server\functions.php on line 32
[08-Jun-2018 23:47:51 America/Sao_Paulo] PHP Notice:  Undefined variable: response in C:\xampp\htdocs\pacotes\server\functions.php on line 32
[08-Jun-2018 23:59:48 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 80
[08-Jun-2018 23:59:48 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 97
[09-Jun-2018 00:03:12 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 80
[09-Jun-2018 00:03:12 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 97
[09-Jun-2018 00:08:43 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 80
[09-Jun-2018 00:08:43 America/Sao_Paulo] PHP Warning:  array_merge(): Argument #1 is not an array in C:\xampp\htdocs\pacotes\server\handlers.php on line 94
[09-Jun-2018 00:08:43 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 97
[09-Jun-2018 00:13:12 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 80
[09-Jun-2018 00:13:12 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 97
[09-Jun-2018 00:16:32 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 80
[09-Jun-2018 00:16:32 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 97
[09-Jun-2018 00:16:32 America/Sao_Paulo] PHP Notice:  Undefined index: n_pessoas in C:\xampp\htdocs\pacotes\server\handlers.php on line 100
[09-Jun-2018 00:51:57 America/Sao_Paulo] PHP Warning:  Use of undefined constant HOSPEDAGEM_FILE - assumed 'HOSPEDAGEM_FILE' (this will throw an Error in a future version of PHP) in C:\xampp\htdocs\pacotes\server\handlers.php on line 181
